f,Z_re,Z_im
25172.580078125,0.36974725,-0.004091753
19995.17578125,0.37271914,-0.00845472
15875.5205078125,0.37552503,-0.0118797645
12609.4833984375,0.3786269,-0.015238526
10020.7822265625,0.3815079,-0.017890982
7959.7626953125,0.3849359,-0.020785453
6323.81884765625,0.38852906,-0.02328111
5021.6064453125,0.3925745,-0.026074672
3986.17333984375,0.39667702,-0.028653288
3166.959716796875,0.40139765,-0.031486478
2515.80517578125,0.40654123,-0.033601623
1998.08154296875,0.41207346,-0.035940204
1587.5401611328125,0.41797492,-0.037861247
1260.403564453125,0.42474535,-0.039741237
1001.6024780273438,0.43120053,-0.041247547
795.2546997070312,0.43847007,-0.042374928
631.8196411132812,0.44538665,-0.042513013
502.0887145996094,0.45272437,-0.04265813
398.596923828125,0.45983595,-0.04266829
316.7229919433594,0.46682683,-0.04160181
251.36741638183594,0.47311595,-0.03972405
199.8081512451172,0.48004493,-0.03928902
158.6294708251953,0.48636818,-0.037111577
126.00808715820312,0.49211144,-0.035019886
100.16024780273438,0.49742323,-0.03222754
79.51653289794922,0.50220585,-0.030360477
63.1607551574707,0.50662094,-0.02781378
50.144412994384766,0.5100571,-0.025422765
39.85969161987305,0.51340014,-0.023383558
31.672298431396484,0.51656634,-0.021582568
25.136741638183594,0.5191184,-0.019430846
19.980815887451172,0.5213913,-0.017265074
15.857576370239258,0.5235708,-0.0163506
12.600808143615723,0.52540207,-0.014847471
10.00320053100586,0.5270451,-0.013477982
7.955704212188721,0.52892625,-0.013123374
6.310582160949707,0.5303993,-0.0121350465
5.01444149017334,0.5314735,-0.011341504
3.985969305038452,0.5314369,-0.010569731
3.1655185222625732,0.53359747,-0.010691316
2.513674020767212,0.5347017,-0.009830655
1.9970604181289673,0.53391606,-0.00953645
1.5846854448318481,0.53644395,-0.009945521
1.259674310684204,0.5377561,-0.010597918
1.0000637769699097,0.5388677,-0.011301079
0.7944374680519104,0.5398154,-0.012307977
0.6312621235847473,0.5412363,-0.013574533
0.5011868476867676,0.54338974,-0.015264041
0.39774462580680847,0.5455709,-0.01751988
0.3161931037902832,0.54801565,-0.019614687
0.2511734962463379,0.55213875,-0.021378681
0.1993391215801239,0.5571908,-0.023160804
0.15846854448318481,0.5628348,-0.023380624
0.12590652704238892,0.56816053,-0.022222057
0.09990411251783371,0.57294536,-0.019705055
